"answer","question","subject","option1","option2","option3","option4","explanation"
"Diagon Alley","Which magical shopping district in London is known for its various wizarding shops and businesses?","Harry Potter","Dobby the House Elf","Fred Weasley","Draco Malfoy","Diagon Alley","Diagon Alley is a famous wizarding shopping district in London."
"Cypress Wood with a Unicorn Hair Core","What type of wood and core material is used in the wand of Sybill Trelawney, the Divination professor,?","Harry Potter","Willow Wood with a Unicorn Hair Core","Vine Wood with a Dragon Heartstring Core","Hawthorn Wood with a Unicorn Hair Core","Cypress Wood with a Unicorn Hair Core","Sybill Trelawney's wand is made of Cypress wood with a Unicorn hair core."
"crucio","Which Unforgivable Curse inflicts excruciating pain on the target?","Harry Potter","imperio","reducto","Expelliarmus","crucio","The Cruciatus Curse, or Crucio, is used to torture and cause severe pain to the victim."
"Crookshanks","What is the name of Hermione Granger's pet cat, known for its squashed face and distinctive appearance?","Harry Potter","Diagon Alley","Dobby the House Elf","Dolores Umbridge","Crookshanks","Crookshanks is Hermione's pet cat."
"Colin Creevey","Who is a young and enthusiastic photographer and a student at Hogwarts?","Harry Potter","Dobby the House Elf","Fred Weasley","Draco Malfoy","Colin Creevey","Colin Creevey is known for his enthusiasm and his camera."
"Cho Chang","Who is a Hogwarts student and a member of the Ravenclaw Quidditch team?","Harry Potter","Bill Weasley","Cedric Diggory","Charlie Weasley","Cho Chang","Cho Chang is a Ravenclaw student who plays Quidditch for her house."
"Charlie Weasley","Which Weasley sibling is known for his interest in dragons and works with them in Romania?","Harry Potter","Cho Chang","Bill Weasley","Barty Crouch Jr.","Charlie Weasley","Charlie Weasley works with dragons in Romania."
"Cedric Diggory","Which Hogwarts student from Hufflepuff competes as one of the champions in the Triwizard Tournament?","Harry Potter","Charlie Weasley","Cho Chang","Bill Weasley","Cedric Diggory","Cedric Diggory is a Hufflepuff student who participates in the Triwizard Tournament."
"Buckbeak","What is the name of the hippogriff introduced in 'Harry Potter and the Prisoner of Azkaban'?","Harry Potter","Hogwarts Express","The Horcruxes","The Hungarian Horntail","Buckbeak","Buckbeak is the name of the hippogriff."
"Blast-Ended Skrewts","In 'Harry Potter and the Goblet of Fire', what dangerous magical creatures are released in the maze during the third task of the Triwizard Tournament, making it even more perilous for the champions?","Harry Potter","Acromantulas","Thestrals","Nifflers","Blast-Ended Skrewts","The Blast-Ended Skrewts are released in the maze during the third challenge of the Triwizard Tournament."
"Bill Weasley","Which Weasley sibling is known for working as a curse breaker for Gringotts Wizarding Bank?","Harry Potter","Cedric Diggory","Charlie Weasley","Cho Chang","Bill Weasley","Bill Weasley works as a curse breaker for Gringotts Wizarding Bank."
"Bellatrix Lestrange","Which Death Eater is known for her extreme loyalty to Lord Voldemort and her role?","Harry Potter","Bill Weasley","Cedric Diggory","Charlie Weasley","Bellatrix Lestrange","Bellatrix Lestrange is known for her extreme loyalty to Voldemort and her actions in the series."
"Bathilda Bagshot","Who is the author of the wizarding book 'A History of Magic'?","Harry Potter","Bellatrix Lestrange","Bill and Fleur's Wedding","Cedric Diggory","Bathilda Bagshot","Bathilda Bagshot is the author of the wizarding book 'A History of Magic.'"
"Barty Crouch Jr.","Who impersonated Mad-Eye Moody using Polyjuice Potion in the Triwizard Tournament during the events of the Harry Potter series?","Harry Potter","Bellatrix Lestrange","Bathilda Bagshot","Charlie Weasley","Barty Crouch Jr.","Barty Crouch Jr. impersonated Mad-Eye Moody as part of a plot in the Triwizard Tournament."
"Avada Kedavra","Which curse is known as one of the Unforgivable Curses and causes instant death to the target?","Harry Potter","crucio","Expulso","Stupefy","Avada Kedavra","Avada Kedavra is the Killing Curse, infamous for its lethal effects."
"Arthur Weasley","Which Weasley family member works at the Ministry of Magic and has a fascination with Muggle inventions?","Harry Potter","Bill Weasley","Barty Crouch Jr.","Cho Chang","Arthur Weasley","Arthur Weasley is known for his fascination with Muggle inventions and works at the Ministry of Magic."
"Argus Filch","Who is the caretaker of Hogwarts and known for his dislike of students breaking rules?","Harry Potter","Bathilda Bagshot","Bellatrix Lestrange","Arthur Weasley","Argus Filch","Argus Filch serves as the caretaker of Hogwarts and enforces the school's rules."
"Aragog","What is the name of Hagrid's giant pet spider?","Harry Potter","Aragog's Funeral","Charlie Weasley","Bill Weasley","Aragog","Aragog is the name of Hagrid's giant pet spider."
"Alohomora","What spell is commonly used to unlock doors and objects?","Harry Potter","Expelliarmus","Nox","Lumos","Alohomora","Alohomora is the spell used to unlock doors and objects, allowing access."
"Albus Dumbledore","Who is the wise and respected headmaster of Hogwarts School of Witchcraft and Wizardry?","Harry Potter","Filius Flitwick","Rubeus Hagrid","Remus Lupin","Albus Dumbledore","Albus Dumbledore is the headmaster of Hogwarts."
"Alastor Moody","Who is a famous Auror and a member of the Order of the Phoenix, known for his magical eye?","Harry Potter","Quirinus Quirrell","Horace Slughorn","Severus Snape","Alastor Moody","Alastor Moody is a skilled Auror with a magical eye."
"Accio","Which spell is used for summoning objects?","Harry Potter","Alohomora","Stupefy","Expecto Patronum","Accio","The Accio spell is known for summoning objects to the caster's location."
"Luke Skywalker","Who is known as the hero of the Rebel Alliance and the son of Anakin Skywalker?","Star Wars","Princess Leia Organa","Han Solo","Darth Vader","Luke Skywalker","Luke Skywalker is the hero of the Rebel Alliance and the son of Anakin Skywalker."
"Princess Leia Organa","Who is the skilled diplomat and leader of the Rebel Alliance?","Star Wars","Luke Skywalker","Han Solo","Darth Vader","Princess Leia Organa","Princess Leia Organa is a skilled diplomat and leader of the Rebel Alliance."
"Han Solo","Who is the charming smuggler and pilot of the Millennium Falcon?","Star Wars","Luke Skywalker","Princess Leia Organa","Darth Vader","Han Solo","Han Solo is the charming smuggler and pilot of the Millennium Falcon."
"Darth Vader","Who is the Sith Lord and former Jedi Knight with a deep voice and iconic helmet?","Star Wars","Luke Skywalker","Princess Leia Organa","Han Solo","Darth Vader","Darth Vader is the Sith Lord and former Jedi Knight with a deep voice and iconic helmet."
"Obi-Wan Kenobi","Who is a wise Jedi Master and mentor to Anakin Skywalker and Luke Skywalker?","Star Wars","Yoda","Chewbacca","Obi-Wan Kenobi","R2-D2","Obi-Wan Kenobi is a wise Jedi Master and mentor to Anakin Skywalker and Luke Skywalker."
"Yoda","Who is the ancient and wise Jedi Master who trained Luke Skywalker?","Star Wars","Chewbacca","R2-D2","C-3PO","Yoda","Yoda is the ancient and wise Jedi Master who trained Luke Skywalker."
"Chewbacca","Who is the loyal Wookiee co-pilot of the Millennium Falcon?","Star Wars","Yoda","R2-D2","C-3PO","Chewbacca","Chewbacca is the loyal Wookiee co-pilot of the Millennium Falcon."
"R2-D2","Who is the resourceful astromech droid often seen with Luke Skywalker?","Star Wars","Yoda","Chewbacca","C-3PO","R2-D2","R2-D2 is the resourceful astromech droid often seen with Luke Skywalker."
"C-3PO","Who is the protocol droid fluent in multiple languages and often paired with R2-D2?","Star Wars","Yoda","Chewbacca","R2-D2","C-3PO","C-3PO is the protocol droid fluent in multiple languages and often paired with R2-D2."
"Tatooine","What desert planet is Luke Skywalker's home and the location of the first Star Wars film?","Star Wars","Alderaan","Hoth","Endor","Tatooine","Tatooine is the desert planet that is Luke Skywalker's home and the location of the first Star Wars film."
"Alderaan","Which planet was destroyed by the Death Star in the original Star Wars film?","Star Wars","Tatooine","Hoth","Endor","Alderaan","Alderaan was destroyed by the Death Star in the original Star Wars film."
"Death Star","What is the name of the massive space station and superweapon built by the Empire?","Star Wars","Tatooine","Alderaan","Millennium Falcon","Death Star","The Death Star is the massive space station and superweapon built by the Empire."
"Millennium Falcon","What is the name of Han Solo's iconic starship?","Star Wars","Tatooine","Alderaan","Death Star","Millennium Falcon","The Millennium Falcon is Han Solo's iconic starship."
"Lightsaber","What weapon is commonly used by Jedi and Sith, with a blade of plasma?","Star Wars","Tatooine","Alderaan","Death Star","Lightsaber","A lightsaber is a weapon commonly used by Jedi and Sith, with a blade of plasma."
"The Force","What mystical energy field gives Jedi their power and binds the galaxy together?","Star Wars","Tatooine","Alderaan","Death Star","The Force","The Force is the mystical energy field that gives Jedi their power and binds the galaxy together."
"Battle of Yavin","In which battle did the Rebel Alliance destroy the first Death Star?","Star Wars","Battle of Hoth","Battle of Endor","Battle of Coruscant","Battle of Yavin","The Rebel Alliance destroyed the first Death Star in the Battle of Yavin."
"Battle of Hoth","In which icy battle did the Empire attack the Rebel Alliance on the planet Hoth?","Star Wars","Battle of Yavin","Battle of Endor","Battle of Coruscant","Battle of Hoth","The Empire attacked the Rebel Alliance in the Battle of Hoth on the planet Hoth."
"Battle of Endor","In which decisive battle did the Rebel Alliance confront the Empire's forces in the forest moon of Endor?","Star Wars","Battle of Yavin","Battle of Hoth","Battle of Coruscant","Battle of Endor","The Rebel Alliance confronted the Empire's forces in the Battle of Endor on the forest moon of Endor."
"Jabba the Hutt","Who is the notorious crime lord and owner of the palace on Tatooine?","Star Wars","The Jedi Council","Emperor Palpatine","Lando Calrissian","Jabba the Hutt","Jabba the Hutt is the notorious crime lord and owner of the palace on Tatooine."
"The Jedi Council","What is the governing body of Jedi Knights and Masters in the Star Wars universe?","Star Wars","Jabba the Hutt","Emperor Palpatine","Lando Calrissian","The Jedi Council","The Jedi Council is the governing body of Jedi Knights and Masters in the Star Wars universe."
"Emperor Palpatine","Who is the Sith Lord and Emperor who manipulated Anakin Skywalker to the dark side?","Star Wars","Anakin Skywalker","Padmé Amidala","Darth Vader","Emperor Palpatine","Emperor Palpatine is the Sith Lord and Emperor who manipulated Anakin Skywalker to the dark side."
"Anakin Skywalker","Who is the Jedi Knight who becomes Darth Vader after falling to the dark side?","Star Wars","Emperor Palpatine","Padmé Amidala","Grand Moff Tarkin","Anakin Skywalker","Anakin Skywalker is the Jedi Knight who becomes Darth Vader after falling to the dark side."
"Padmé Amidala","Who is the former Queen of Naboo and the love interest of Anakin Skywalker?","Star Wars","Emperor Palpatine","Anakin Skywalker","Grand Moff Tarkin","Padmé Amidala","Padmé Amidala is the former Queen of Naboo and the love interest of Anakin Skywalker."
"Grand Moff Tarkin","Who is the Imperial officer in charge of the Death Star in the original Star Wars film?","Star Wars","Emperor Palpatine","Anakin Skywalker","Padmé Amidala","Grand Moff Tarkin","Grand Moff Tarkin is the Imperial officer in charge of the Death Star in the original Star Wars film."
"Lando Calrissian","Who is the suave gambler and owner of Cloud City in 'The Empire Strikes Back'?","Star Wars","Emperor Palpatine","Anakin Skywalker","Padmé Amidala","Lando Calrissian","Lando Calrissian is the suave gambler and owner of Cloud City in 'The Empire Strikes Back'."
"Boba Fett","Who is the notorious bounty hunter with Mandalorian armor who captures Han Solo?","Star Wars","Emperor Palpatine","Anakin Skywalker","Padmé Amidala","Boba Fett","Boba Fett is the notorious bounty hunter with Mandalorian armor who captures Han Solo."
"Stormtroopers","What are the soldiers of the Galactic Empire known for their white armor and blasters?","Star Wars","X-wing","TIE Fighter","Rancor","Stormtroopers","Stormtroopers are the soldiers of the Galactic Empire known for their white armor and blasters."
"X-wing","What type of starfighter is commonly used by the Rebel Alliance with distinctive X-shaped wings?","Star Wars","TIE Fighter","Rancor","Bacta Tank","X-wing","The X-wing is a type of starfighter commonly used by the Rebel Alliance with distinctive X-shaped wings."
"TIE Fighter","What type of starfighter is primarily used by the Galactic Empire with twin ion engines?","Star Wars","X-wing","Rancor","Bacta Tank","TIE Fighter","The TIE Fighter is a type of starfighter primarily used by the Galactic Empire with twin ion engines."
"Rancor","What is the name of the large, carnivorous creature kept in Jabba the Hutt's palace?","Star Wars","X-wing","TIE Fighter","Bacta Tank","Rancor","The Rancor is the name of the large, carnivorous creature kept in Jabba the Hutt's palace."
"Bacta Tank","What medical device is used for healing injuries and is seen in 'The Empire Strikes Back'?","Star Wars","X-wing","TIE Fighter","Rancor","Bacta Tank","A Bacta Tank is a medical device used for healing injuries and is seen in 'The Empire Strikes Back'."
"AT-AT Walker","What is the four-legged Imperial walker used in the Battle of Hoth?","Star Wars","X-wing","TIE Fighter","Rancor","AT-AT Walker","The AT-AT Walker is the four-legged Imperial walker used in the Battle of Hoth."
"Rebel Alliance","What is the organized group that opposes the Galactic Empire in the Star Wars universe?","Star Wars","X-wing","TIE Fighter","Rancor","Rebel Alliance","The Rebel Alliance is the organized group that opposes the Galactic Empire in the Star Wars universe."
"Galactic Empire","What is the authoritarian regime ruled by Emperor Palpatine and Darth Vader in the Star Wars universe?","Star Wars","X-wing","TIE Fighter","Rancor","Galactic Empire","The Galactic Empire is the authoritarian regime ruled by Emperor Palpatine and Darth Vader in the Star Wars universe."
"Jedi Temple","What is the sacred Jedi training and meditation center on Coruscant?","Star Wars","X-wing","TIE Fighter","Rancor","Jedi Temple","The Jedi Temple is the sacred Jedi training and meditation center on Coruscant."
"Clone Troopers","What are the genetically engineered soldiers created for the Galactic Republic?","Star Wars","X-wing","TIE Fighter","Rancor","Clone Troopers","Clone Troopers are the genetically engineered soldiers created for the Galactic Republic."
"Slave I","What is the name of Boba Fett's ship, which is also his personal starship?","Star Wars","X-wing","TIE Fighter","Rancor","Slave I","Slave I is the name of Boba Fett's ship, which is also his personal starship."
"Mos Eisley Cantina","What is the infamous cantina on Tatooine where Luke and Obi-Wan meet Han Solo and Chewbacca?","Star Wars","X-wing","TIE Fighter","Rancor","Mos Eisley Cantina","The Mos Eisley Cantina is the infamous cantina on Tatooine where Luke and Obi-Wan meet Han Solo and Chewbacca."
"Endor Forest","What is the forested moon where the Rebel Alliance confronts the Empire in 'Return of the Jedi'?","Star Wars","X-wing","TIE Fighter","Rancor","Endor Forest","The Endor Forest is the forested moon where the Rebel Alliance confronts the Empire in 'Return of the Jedi'."
"Carbonite Freezing","What process is used to encase Han Solo in 'The Empire Strikes Back'?","Star Wars","Force Ghosts","Dagobah","Kashyyyk","Carbonite Freezing","Carbonite Freezing is the process used to encase Han Solo in 'The Empire Strikes Back'."
"Force Ghosts","What are the apparitions of deceased Jedi who can communicate with the living?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Force Ghosts","Force Ghosts are the apparitions of deceased Jedi who can communicate with the living."
"Dagobah","On which remote planet does Yoda live in exile and train Luke Skywalker in 'The Empire Strikes Back'?","Star Wars","Carbonite Freezing","Kashyyyk","Naboo","Dagobah","Dagobah is the remote planet where Yoda lives in exile and trains Luke Skywalker in 'The Empire Strikes Back'."
"Kashyyyk","What is the homeworld of the Wookiees, including Chewbacca?","Star Wars","Carbonite Freezing","Dagobah","Naboo","Kashyyyk","Kashyyyk is the homeworld of the Wookiees, including Chewbacca."
"Naboo","Which planet is the home of Padmé Amidala and Emperor Palpatine in the prequel trilogy?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Naboo","Naboo is the planet that is the home of Padmé Amidala and Emperor Palpatine in the prequel trilogy."
"Mustafar","On which fiery and volcanic planet does Anakin Skywalker have his fateful duel with Obi-Wan Kenobi?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Mustafar","Mustafar is the fiery and volcanic planet where Anakin Skywalker has his fateful duel with Obi-Wan Kenobi."
"Coruscant","What is the bustling city-covered planet that serves as the capital of the Galactic Republic and later the Galactic Empire?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Coruscant","Coruscant is the bustling city-covered planet that serves as the capital of the Galactic Republic and later the Galactic Empire."
"Geonosis","Where does the first battle between the Jedi and the Separatists take place in 'Attack of the Clones'?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Geonosis","The first battle between the Jedi and the Separatists takes place on Geonosis in 'Attack of the Clones'."
"Kessel Run","What is the famous hyperspace route known for its dangers and smuggler lore?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Kessel Run","The Kessel Run is the famous hyperspace route known for its dangers and smuggler lore."
"The Krayt Dragon","What is the massive, carnivorous creature found on Tatooine in 'A New Hope'?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","The Krayt Dragon","The Krayt Dragon is the massive, carnivorous creature found on Tatooine in 'A New Hope'."
"Bespin","Which gas giant is the location of Cloud City, where Han Solo is frozen in carbonite?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Bespin","Bespin is the gas giant that is the location of Cloud City, where Han Solo is frozen in carbonite."
"Mon Mothma","Who is the leader of the Rebel Alliance and later the New Republic in the original Star Wars trilogy?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Mon Mothma","Mon Mothma is the leader of the Rebel Alliance and later the New Republic in the original Star Wars trilogy."
"General Ackbar","Who is the Mon Calamari admiral known for the line 'It's a trap!'in 'Return of the Jedi'?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","General Ackbar","General Ackbar is the Mon Calamari admiral known for the line 'It's a trap!'in 'Return of the Jedi'."
"Ewoks","What are the small, furry inhabitants of the forest moon of Endor who aid the Rebel Alliance?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Ewoks","Ewoks are the small, furry inhabitants of the forest moon of Endor who aid the Rebel Alliance."
"Kylo Ren","Who is the antagonist in the sequel trilogy, also known as Ben Solo?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Kylo Ren","Kylo Ren is the antagonist in the sequel trilogy, also known as Ben Solo."
"BB-8","What is the astromech droid that accompanies Rey in the sequel trilogy?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","BB-8","BB-8 is the astromech droid that accompanies Rey in the sequel trilogy."
"Porgs","What are the small, penguin-like creatures native to Ahch-To, seen in 'The Last Jedi'?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Porgs","Porgs are the small, penguin-like creatures native to Ahch-To, seen in 'The Last Jedi'."
"Sarlacc Pit","What is the creature in the Great Pit of Carkoon on Tatooine that swallows victims and digests them over a thousand years?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Sarlacc Pit","The Sarlacc Pit is the creature in the Great Pit of Carkoon on Tatooine that swallows victims and digests them over a thousand years."
"Trade Federation","What is the powerful, trade-oriented organization that blockades Naboo in 'The Phantom Menace'?","Star Wars","Carbonite Freezing","Dagobah","Kashyyyk","Trade Federation","The Trade Federation is the powerful, trade-oriented organization that blockades Naboo in 'The Phantom Menace'."
"Sith Temple","What is the hidden location where the Sith practiced their dark arts and rituals?","Star Wars","Rey","Finn","Poe Dameron","Sith Temple","The Sith Temple is the hidden location where the Sith practiced their dark arts and rituals."
"Rey","Who is the main protagonist of the sequel trilogy, known for her strong connection to the Force?","Star Wars","Finn","Poe Dameron","Supreme Leader Snoke","Rey","Rey is the main protagonist of the sequel trilogy, known for her strong connection to the Force."
"Finn","Which character defects from the First Order and joins the Resistance in the sequel trilogy?","Star Wars","Poe Dameron","Supreme Leader Snoke","Resistance","Finn","Finn is the character who defects from the First Order and joins the Resistance in the sequel trilogy."
"Poe Dameron","Who is the skilled pilot and member of the Resistance who flies the T-70 X-wing starfighter in the sequel trilogy?","Star Wars","Supreme Leader Snoke","Resistance","Jakku","Poe Dameron","Poe Dameron is the skilled pilot and member of the Resistance who flies the T-70 X-wing starfighter in the sequel trilogy."
"Supreme Leader Snoke","Who is the mysterious and powerful leader of the First Order in the sequel trilogy?","Star Wars","Resistance","Jakku","Starkiller Base","Supreme Leader Snoke","Supreme Leader Snoke is the mysterious and powerful leader of the First Order in the sequel trilogy."
"The Resistance","What is the organized military force that opposes the First Order in the sequel trilogy?","Star Wars","Jakku","Hoth","Rogue One","The Resistance","The Resistance is the organized military force that opposes the First Order in the sequel trilogy."
"Jakku","On which desert planet does Rey's journey begin in the sequel trilogy?","Star Wars","Starkiller Base","Hoth","Galactic Senate","Jakku","Jakku is the desert planet where Rey's journey begins in the sequel trilogy."
"Starkiller Base","What is the First Order's superweapon capable of destroying entire star systems in the sequel trilogy?","Star Wars","Rogue One","Galactic Senate","Count Dooku","Starkiller Base","Starkiller Base is the First Order's superweapon capable of destroying entire star systems in the sequel trilogy."
"Rogue One","Which standalone Star Wars film focuses on the mission to steal the Death Star plans?","Star Wars","Galactic Senate","Count Dooku","General Grievous","Rogue One","Rogue One is the standalone Star Wars film that focuses on the mission to steal the Death Star plans."
"Jyn Erso","Who is the central character in 'Rogue One', leading the mission to steal the Death Star plans?","Star Wars","Galactic Senate","Count Dooku","General Grievous","Jyn Erso","Jyn Erso is the central character in 'Rogue One'. leading the mission to steal the Death Star plans."
"Cassian Andor","Who is the Rebel Alliance intelligence officer who works alongside Jyn Erso in 'Rogue One'?","Star Wars","Galactic Senate","Count Dooku","General Grievous","Cassian Andor","Cassian Andor is the Rebel Alliance intelligence officer who works alongside Jyn Erso in 'Rogue One'."
"Scarif","What is the tropical planet where the final battle to steal the Death Star plans takes place in 'Rogue One'?","Star Wars","Galactic Senate","Count Dooku","General Grievous","Scarif","Scarif is the tropical planet where the final battle to steal the Death Star plans takes place in 'Rogue One'."
"Galactic Senate","What is the governing body of the Galactic Republic before it becomes the Galactic Empire in the prequel trilogy?","Star Wars","Count Dooku","General Grievous","Naboo Starfighter","Galactic Senate","The Galactic Senate is the governing body of the Galactic Republic before it becomes the Galactic Empire in the prequel trilogy."
"Count Dooku","Who is the Sith Lord and former Jedi Master who becomes a central antagonist in the prequel trilogy?","Star Wars","General Grievous","Naboo Starfighter","Qui-Gon Jinn","Count Dooku","Count Dooku is the Sith Lord and former Jedi Master who becomes a central antagonist in the prequel trilogy."
"General Grievous","Who is the cyborg military leader of the Separatist Alliance known for collecting lightsabers in the prequel trilogy?","Star Wars","Naboo Starfighter","Qui-Gon Jinn","Kamino","General Grievous","General Grievous is the cyborg military leader of the Separatist Alliance known for collecting lightsabers in the prequel trilogy."
"Naboo Starfighter","What type of starfighter is used by the Naboo Royal Space Fighter Corps in 'The Phantom Menace'?","Star Wars","Qui-Gon Jinn","Kamino","Shmi Skywalker","Naboo Starfighter","The Naboo Starfighter is used by the Naboo Royal Space Fighter Corps in 'The Phantom Menace'."
"Qui-Gon Jinn","Who is the Jedi Master who discovers Anakin Skywalker and believes he is the Chosen One in 'The Phantom Menace'?","Star Wars","Kamino","Shmi Skywalker","Sith Temple","Qui-Gon Jinn","Qui-Gon Jinn is the Jedi Master who discovers Anakin Skywalker and believes he is the Chosen One in 'The Phantom Menace'."
"Kamino","What is the rainy and ocean-covered planet where the Clone Army is created in 'Attack of the Clones'?","Star Wars","Shmi Skywalker","Sith Temple","Rey","Kamino","Kamino is the rainy and ocean-covered planet where the Clone Army is created in 'Attack of the Clones'."
"Shmi Skywalker","Who is the mother of Anakin Skywalker in 'The Phantom Menace'?","Star Wars","Sith Temple","Rey","Finn","Shmi Skywalker","Shmi Skywalker is the mother of Anakin Skywalker in 'The Phantom Menace'."
"Podracing on Tatooine","What dangerous and exhilarating sport takes place on the desert planet Tatooine?","Star Wars","Boonta Eve Classic","Force Lightning","Bounty Hunters","Podracing on Tatooine","Podracing on Tatooine is the dangerous and exhilarating sport that takes place on the desert planet Tatooine."
"Boonta Eve Classic","What is the most famous podracing event on Tatooine that Anakin Skywalker participates in?","Star Wars","Force Lightning","Bounty Hunters","Jedi Holocron","Boonta Eve Classic","The Boonta Eve Classic is the most famous podracing event on Tatooine that Anakin Skywalker participates in."
"Force Lightning","What is the powerful and destructive ability used by Sith Lords to project deadly electrical energy from their fingertips?","Star Wars","Bounty Hunters","Jedi Holocron","The Mandalorian","Force Lightning","Force Lightning is the powerful and destructive ability used by Sith Lords to project deadly electrical energy from their fingertips."
"Bounty Hunters","Who are the individuals often hired to track down and capture or eliminate targets in the Star Wars universe?","Star Wars","Jedi Holocron","The Mandalorian","Din Djarin","Bounty Hunters","Bounty Hunters are the individuals often hired to track down and capture or eliminate targets in the Star Wars universe."
"Jedi Holocron","What is a data-storage device used by the Jedi to preserve knowledge and teachings in a holographic form?","Star Wars","The Mandalorian","Din Djarin","Grogu","Jedi Holocron","A Jedi Holocron is a data-storage device used by the Jedi to preserve knowledge and teachings in a holographic form."
"The Mandalorian","Who is the protagonist of the Star Wars TV series set in the Outer Rim, known for wearing Mandalorian armor?","Star Wars","Din Djarin","Grogu","Ahsoka Tano","The Mandalorian","The Mandalorian is the protagonist of the Star Wars TV series set in the Outer Rim, known for wearing Mandalorian armor."
"Din Djarin","What is the real name of the Mandalorian character often referred to as 'Mando'?","Star Wars","Grogu","Ahsoka Tano","Bo-Katan Kryze","Din Djarin","Din Djarin is the real name of the Mandalorian character often referred to as 'Mando'."
"Grogu","What is the name of the Force-sensitive child that the Mandalorian protects and cares for in the TV series?","Star Wars","Ahsoka Tano","Bo-Katan Kryze","Dark Saber","Grogu","Grogu is the name of the Force-sensitive child that the Mandalorian protects and cares for in the TV series."
"Ahsoka Tano","Who is the former Jedi Padawan of Anakin Skywalker and a skilled Force user with a white lightsaber?","Star Wars","Bo-Katan Kryze","Dark Saber","Mandalore","Ahsoka Tano","Ahsoka Tano is the former Jedi Padawan of Anakin Skywalker and a skilled Force user with a white lightsaber."
"Bo-Katan Kryze","Who is the Mandalorian warrior and leader of the Nite Owls known for her quest to reclaim the Darksaber and rule Mandalore?","Star Wars","Dark Saber","Mandalore","Clone Wars","Bo-Katan Kryze","Bo-Katan Kryze is the Mandalorian warrior and leader of the Nite Owls known for her quest to reclaim the Darksaber and rule Mandalore."
"Dark Saber","What is the ancient black-bladed lightsaber that holds great significance in the Mandalorian culture and leadership?","Star Wars","Mandalore","Clone Wars","Order 66","Dark Saber","The Dark Saber is the ancient black-bladed lightsaber that holds great significance in the Mandalorian culture and leadership."
"Mandalore","What is the name of the Mandalorian homeworld and the center of Mandalorian society?","Star Wars","Clone Wars","Order 66","Imperial Star Destroyer","Mandalore","Mandalore is the name of the Mandalorian homeworld and the center of Mandalorian society."
"Clone Wars","What is the conflict that spans several years and involves the Republic's clone army battling the Separatist Alliance in the Star Wars prequel era?","Star Wars","Order 66","Imperial Star Destroyer","Chess","Clone Wars","The Clone Wars is the conflict that spans several years and involves the Republic's clone army battling the Separatist Alliance in the Star Wars prequel era."
"Order 66","What is the directive issued to clone troopers in the Star Wars prequel era to execute Jedi across the galaxy?","Star Wars","Imperial Star Destroyer","Chess","Bowcaster","Order 66","Order 66 is the directive issued to clone troopers in the Star Wars prequel era to execute Jedi across the galaxy."
"Imperial Star Destroyer","What is the imposing and heavily armed capital ship used by the Galactic Empire in the Star Wars universe?","Star Wars","Chess","Bowcaster","Carbon-Freezing Chamber","Imperial Star Destroyer","The Imperial Star Destroyer is the imposing and heavily armed capital ship used by the Galactic Empire in the Star Wars universe."
"Chess","What is the strategic board game often played by characters like Chewbacca and C-3PO in the Star Wars saga?","Star Wars","Bowcaster","Carbon-Freezing Chamber","Bail Organa","Chess","Chess is the strategic board game often played by characters like Chewbacca and C-3PO in the Star Wars saga."
"Bowcaster","What is the powerful Wookiee weapon resembling a crossbow, used by characters like Chewbacca?","Star Wars","Carbon-Freezing Chamber","Bail Organa","Podracing on Tatooine","Bowcaster","The Bowcaster is the powerful Wookiee weapon resembling a crossbow, used by characters like Chewbacca."
"Carbon-Freezing Chamber","In which location on Cloud City is Han Solo frozen in carbonite in 'The Empire Strikes Back'?","Star Wars","Bail Organa","Podracing on Tatooine","Boonta Eve Classic","Carbon-Freezing Chamber","The Carbon-Freezing Chamber is the location on Cloud City where Han Solo is frozen in carbonite in 'The Empire Strikes Back'."
"Bail Organa","Who is the Alderaanian senator and leader in the Rebel Alliance who adopts Leia Organa?","Star Wars","Podracing on Tatooine","Boonta Eve Classic","Force Lightning","Bail Organa","Bail Organa is the Alderaanian senator and leader in the Rebel Alliance who adopts Leia Organa."
"AT-ST Walker","What type of walker is commonly used by the Galactic Empire in the Star Wars universe?","Star Wars","Tauntaun","First Order Stormtroopers","Crait","AT-ST Walker","The AT-ST Walker is commonly used by the Galactic Empire in the Star Wars universe."
"Tauntaun","What creature is used as a mount by the Rebel Alliance on the ice planet Hoth?","Star Wars","First Order Stormtroopers","Crait","Porg Nests","Tauntaun","The Tauntaun is used as a mount by the Rebel Alliance on the ice planet Hoth."
